City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Yerbogachen,RU,61.28,108.01,51.8,93,0,4.25
138,Hayden,US,47.77,-116.79,87.01,23,1,3.36
139,Mopipi,BW,-21.18,24.88,47.08,49,0,9.6
140,Qaanaaq,GL,77.48,-69.36,46.22,57,23,1.19
141,Carnarvon,AU,-24.87,113.63,55.4,32,0,11.41
142,Grindavik,IS,63.84,-22.43,50.0,100,90,12.75
143,Bluff,NZ,-46.6,168.33,49.33,81,99,20.36
144,Gorontalo,ID,0.54,123.06,73.04,87,79,2.39
145,Arlit,NE,18.74,7.39,96.08,19,30,3.58
146,Kimbe,PG,-5.55,150.14,75.11,87,10,5.39
147,Tsaratanana,MG,-16.78,47.65,67.64,65,1,14.67
148,Zhigansk,RU,66.77,123.37,66.07,69,29,20.29
149,Thompson,CA,55.74,-97.86,62.6,72,90,3.36
150,Saint Anthony,US,45.02,-93.22,82.99,45,1,3.36
151,Sao Filipe,CV,14.9,-24.5,74.48,82,20,6.62
152,Alexandria,EG,31.22,29.96,77.0,78,40,11.41
153,Mehamn,NO,71.04,27.85,47.48,85,100,4.36
154,San Francisco Del Mar,MX,16.23,-94.65,88.99,64,95,4.83
155,Adwa,ET,14.16,38.9,67.37,76,12,3.58
156,Bilma,NE,18.69,12.92,93.76,24,91,13.42
157,Bowmore,US,34.94,-79.3,93.99,49,75,3.36
158,Port Hardy,CA,50.7,-127.42,57.2,93,75,8.05
159,Baykit,RU,61.67,96.37,49.12,86,2,2.75
160,Berlevag,NO,70.86,29.09,47.1,88,91,3.85
161,Tuktoyaktuk,CA,69.45,-133.04,48.2,76,20,9.17
162,Fairbanks,US,64.84,-147.72,66.2,39,90,2.42
163,Lipnita,RO,44.1,27.6,71.6,60,5,9.17
164,Newport,GB,51.59,-3.0,60.01,71,12,6.64
165,Provideniya,RU,64.38,-173.3,56.25,49,0,2.3
166,Esperance,AU,-33.87,121.9,41.0,93,0,10.29
167,Uvarovka,RU,55.53,35.61,64.08,98,100,5.12
168,Usinsk,RU,65.99,57.53,54.09,75,0,5.91
169,Tasiilaq,GL,65.61,-37.64,46.4,70,55,16.11
170,Antofagasta,CL,-23.65,-70.4,59.0,67,21,10.29
171,Road Town,VG,18.42,-64.62,89.6,70,40,10.29
172,Kaputa,ZM,-8.47,29.66,71.85,57,6,3.06
173,Nikolskoye,RU,59.7,30.79,57.2,82,75,8.95
174,Najran,SA,17.49,44.13,87.8,22,39,4.27
175,Jaen,ES,38.0,-3.5,86.0,38,2,3.0
176,Cherskiy,RU,68.75,161.3,45.39,87,100,12.1
177,Jashpurnagar,IN,22.9,84.15,72.03,91,70,4.61
178,Roma,US,43.21,-75.46,87.8,55,40,12.75
179,Kyshtovka,RU,56.55,76.63,61.41,90,85,8.23
180,San Quintin,MX,30.48,-115.95,80.94,46,71,13.0
181,Brufut,GM,13.38,-16.75,78.8,100,75,5.82
182,Hillsborough,US,37.57,-122.38,78.8,44,20,18.34
183,Faya,SA,18.39,42.45,78.8,41,62,2.17
184,Alyangula,AU,-13.85,136.42,71.6,88,90,14.36
