City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Mount Pleasant,US,88.0,clear sky,32.79,-79.86,Best Western Patriots Point
498,Kirakira,SB,83.07,light rain,-10.45,161.92,SanBiz Lodge
503,Matara,LK,79.14,overcast clouds,5.95,80.54,Amaloh Boutique Resort
506,Varadero,CU,84.2,broken clouds,23.15,-81.25,Hotel Tuxpan Varadero
510,Udaipura,IN,81.23,overcast clouds,23.08,78.5,Hotel Kanha Palace
512,Noumea,NC,77.0,broken clouds,-22.28,166.46,Hôtel Le Lagon
516,Najran,SA,80.1,scattered clouds,17.49,44.13,محمد هادي ال فطيح
517,North Myrtle Beach,US,86.0,clear sky,33.82,-78.68,Avista Resort
519,Sidi Ali,DZ,76.8,overcast clouds,36.1,0.42,
521,Lingao,CN,85.8,clear sky,19.91,109.69,Lingao Ditai Inn
526,Borogontsy,RU,87.84,clear sky,62.67,131.17,
530,San Benito,GT,82.83,broken clouds,16.91,-89.91,Quinta Maya Hotel
