City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
387,Petropavl,KZ,54.88,69.16,59.0,87,59,2.24,broken clouds,0,0
388,Tevriz,RU,57.51,72.4,61.99,75,0,4.7,clear sky,0,0
389,Fare,PF,-16.7,-151.02,79.48,77,100,16.13,light rain,0,0
390,Karratha,AU,-20.74,116.85,67.15,25,0,19.73,clear sky,0,0
391,Araouane,ML,18.9,-3.53,95.65,25,20,2.24,few clouds,0,0
392,Kaman,IN,27.65,77.27,89.2,60,100,9.82,overcast clouds,0,0
393,Lahaina,US,20.88,-156.68,89.6,43,40,25.28,scattered clouds,0,0
394,Nouakchott,MR,18.09,-15.98,80.6,83,20,6.93,few clouds,0,0
395,Devonport,AU,-41.17,146.35,51.01,89,0,1.01,clear sky,0,0
396,Saint-Joseph,RE,-21.37,55.62,64.4,72,27,8.05,light rain,0,0
397,Liverpool,GB,53.41,-2.98,60.01,72,95,8.05,overcast clouds,0,0
398,Maraa,BR,-1.83,-65.37,73.42,96,99,0.92,overcast clouds,0,0
399,Dhekiajuli,IN,26.7,92.5,79.56,92,91,3.6,light rain,0,0
400,Cururupu,BR,-1.83,-44.87,74.17,90,9,2.46,clear sky,0,0
401,Banapur,IN,19.78,85.18,85.24,78,100,3.2,overcast clouds,0,0
402,Sawakin,SD,19.11,37.33,85.68,45,50,9.98,scattered clouds,0,0
403,Ampanihy,MG,-24.7,44.75,60.78,89,14,3.58,few clouds,0,0
404,Guangyuan,CN,32.44,105.82,71.01,78,89,3.62,overcast clouds,0,0
405,Uni,RU,57.75,51.49,61.68,88,0,1.61,clear sky,0,0
406,San Quintin,MX,30.48,-115.95,76.23,58,0,15.73,clear sky,0,0
407,Palmer,US,42.16,-72.33,79.0,87,36,3.22,scattered clouds,0,0
408,Ambon,ID,-3.7,128.18,79.0,14,100,18.23,light rain,0,0
409,Maralal,KE,1.1,36.7,57.72,86,35,1.32,scattered clouds,0,0
410,Poum,NC,-20.23,164.02,73.87,76,45,9.71,scattered clouds,0,0
411,Kosh-Agach,RU,50.0,88.67,52.75,78,100,2.46,light rain,0,0
412,Tautira,PF,-17.73,-149.15,82.4,61,75,3.36,broken clouds,0,0
413,Daman,IN,20.42,72.85,81.21,83,96,9.24,light rain,0,0
414,Saint-Augustin,CA,51.23,-58.65,61.07,97,100,12.17,overcast clouds,0,0
415,Neiafu,TO,-18.65,-173.98,73.4,73,40,11.41,scattered clouds,0,0
416,Vila Velha,BR,-20.33,-40.29,73.4,73,75,6.93,broken clouds,0,0
417,Nadym,RU,65.53,72.52,59.67,88,99,13.73,light rain,0,0
418,Hammerfest,NO,70.66,23.68,48.2,81,93,3.36,light rain,0,0
